algo,env,dataset,env_d4rl_name,guidance_scale,target_return,stage,n_seeds,minari_score_mean,minari_score_std,raw_return_mean,raw_return_std,d4rl_equiv_mean,d4rl_equiv_std,paper_d4rl_score,paper_source,delta_d4rl_equiv_minus_paper,notes
qgpo,hopper,medium,hopper-medium-v0,10.0,,critic,3,42.233,4.972,1629.281,191.814,50.684,5.894,98.0,"QGPO paper, Lu et al. 2023, Table 1",-47.316,
qgpo,hopper,expert,hopper-expert-v0,0.0,,critic,3,-0.011,40.336,-0.42,1556.072,0.61,47.812,108.0,"QGPO paper, Lu et al. 2023, Table 1",-107.39,
qgpo,hopper,expert,hopper-expert-v0,1.0,,critic,3,-23.076,63.987,-890.241,2468.502,-26.731,75.847,108.0,"QGPO paper, Lu et al. 2023, Table 1",-134.731,
qgpo,hopper,expert,hopper-expert-v0,2.0,,critic,3,-92.918,109.252,-3584.606,4214.732,-109.518,129.502,108.0,"QGPO paper, Lu et al. 2023, Table 1",-217.518,
qgpo,hopper,expert,hopper-expert-v0,3.0,,critic,3,-205.502,195.036,-7927.859,7524.102,-242.969,231.186,108.0,"QGPO paper, Lu et al. 2023, Table 1",-350.969,
qgpo,hopper,expert,hopper-expert-v0,5.0,,critic,3,-663.155,598.685,-25583.219,23096.085,-785.447,709.65,108.0,"QGPO paper, Lu et al. 2023, Table 1",-893.447,
qgpo,hopper,expert,hopper-expert-v0,8.0,,critic,3,-1356.069,993.772,-52314.475,38337.761,-1606.792,1177.966,108.0,"QGPO paper, Lu et al. 2023, Table 1",-1714.792,
qgpo,hopper,expert,hopper-expert-v0,10.0,,critic,3,-2288.409,1675.736,-88282.308,64646.6,-2711.94,1986.332,108.0,"QGPO paper, Lu et al. 2023, Table 1",-2819.94,
qgpo,walker2d,medium,walker2d-medium-v0,0.0,,critic,3,12.18,93.118,834.083,6376.527,18.134,138.902,86.0,"QGPO paper, Lu et al. 2023, Table 1",-67.866,
qgpo,walker2d,medium,walker2d-medium-v0,1.0,,critic,3,34.194,75.748,2341.539,5187.051,50.971,112.991,86.0,"QGPO paper, Lu et al. 2023, Table 1",-35.029,
qgpo,walker2d,medium,walker2d-medium-v0,2.0,,critic,3,31.381,78.241,2148.921,5357.794,46.775,116.71,86.0,"QGPO paper, Lu et al. 2023, Table 1",-39.225,
qgpo,walker2d,medium,walker2d-medium-v0,3.0,,critic,3,25.251,81.545,1729.118,5584.038,37.63,121.639,86.0,"QGPO paper, Lu et al. 2023, Table 1",-48.37,
qgpo,walker2d,medium,walker2d-medium-v0,5.0,,critic,3,15.777,100.297,1080.346,6868.164,23.498,149.611,86.0,"QGPO paper, Lu et al. 2023, Table 1",-62.502,
qgpo,walker2d,medium,walker2d-medium-v0,8.0,,critic,3,-13.471,140.983,-922.445,9654.231,-20.129,210.301,86.0,"QGPO paper, Lu et al. 2023, Table 1",-106.129,
qgpo,walker2d,medium,walker2d-medium-v0,10.0,,critic,3,-49.727,165.679,-3405.185,11345.379,-74.212,247.14,86.0,"QGPO paper, Lu et al. 2023, Table 1",-160.212,
qgpo,walker2d,expert,walker2d-expert-v0,0.0,,critic,3,-247.88,482.577,-16974.34,33045.872,-369.793,719.848,110.7,"QGPO paper, Lu et al. 2023, Table 1",-480.493,
qgpo,walker2d,expert,walker2d-expert-v0,1.0,,critic,3,-658.27,1041.077,-45076.952,71290.822,-981.961,1552.95,110.7,"QGPO paper, Lu et al. 2023, Table 1",-1092.661,
qgpo,walker2d,expert,walker2d-expert-v0,2.0,,critic,3,-1258.182,1861.47,-86157.689,127469.633,-1876.835,2776.71,110.7,"QGPO paper, Lu et al. 2023, Table 1",-1987.535,
qgpo,walker2d,expert,walker2d-expert-v0,3.0,,critic,3,-2945.854,4236.287,-201725.968,290092.155,-4394.294,6319.167,110.7,"QGPO paper, Lu et al. 2023, Table 1",-4504.994,
qgpo,walker2d,expert,walker2d-expert-v0,5.0,,critic,3,-4476.804,6380.986,-306562.243,436956.717,-6677.975,9518.363,110.7,"QGPO paper, Lu et al. 2023, Table 1",-6788.675,
qgpo,walker2d,expert,walker2d-expert-v0,8.0,,critic,3,-4990.574,7075.36,-341744.185,484505.981,-7444.354,10554.143,110.7,"QGPO paper, Lu et al. 2023, Table 1",-7555.054,
qgpo,walker2d,expert,walker2d-expert-v0,10.0,,critic,3,-25167.815,35604.427,-1723439.811,2438117.35,-37542.256,53110.261,110.7,"QGPO paper, Lu et al. 2023, Table 1",-37652.956,
qgpo,humanoid,medium,humanoid-medium-v0,0.0,,critic,3,80.897,5.102,6959.444,438.878,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
